el,el,D,A,0,M,S,0
la,el,D,A,0,F,S,0
las,el,D,A,0,F,P,0
lo,el,D,A,0,0,S,0
los,el,D,A,0,M,P,0
aquel,aquel,D,D,0,M,S,0
aquella,aquel,D,D,0,F,S,0
aquellas,aquel,D,D,0,F,P,0
aquellos,aquel,D,D,0,M,P,0
esa,ese,D,D,0,F,S,0
esas,ese,D,D,0,F,P,0
ese,ese,D,D,0,M,S,0
esos,ese,D,D,0,M,P,0
esotra,esotro,D,D,0,F,S,0
esotras,esotro,D,D,0,F,P,0
esotro,esotro,D,D,0,M,S,0
esotros,esotro,D,D,0,M,P,0
esta,este,D,D,0,F,S,0
estas,este,D,D,0,F,P,0
este,este,D,D,0,M,S,0
estos,este,D,D,0,M,P,0
estotra,estotro,D,D,0,F,S,0
estotras,estotro,D,D,0,F,P,0
estotro,estotro,D,D,0,M,S,0
estotros,estotro,D,D,0,M,P,0
semejante,semejante,D,D,0,C,S,0
semejantes,semejante,D,D,0,C,P,0
tal,tal,D,D,0,C,S,0
tales,tal,D,D,0,C,P,0
cuál,cuál,D,E,0,C,S,0
cuáles,cuál,D,E,0,C,P,0
cuánta,cuánto,D,E,0,F,S,0
cuántas,cuánto,D,E,0,F,P,0
cuánto,cuánto,D,E,0,M,S,0
cuántos,cuánto,D,E,0,M,P,0
qué,qué,D,E,0,C,N,0
alguna,alguno,D,I,0,F,S,0
algunas,alguno,D,I,0,F,P,0
alguno,alguno,D,I,0,M,S,0
algunos,alguno,D,I,0,M,P,0
algún,alguno,D,I,0,M,S,0
ambas,ambos,D,I,0,F,P,0
ambos,ambos,D,I,0,M,P,0
bastante,bastante,D,I,0,C,S,0
bastantes,bastante,D,I,0,C,P,0
cada,cada,D,I,0,C,S,0
cierta,cierto,D,I,0,F,S,0
ciertas,cierto,D,I,0,F,P,0
cierto,cierto,D,I,0,M,S,0
ciertos,cierto,D,I,0,M,P,0
cualesquier,cualquiera,D,I,0,C,P,0
cualquier,cualquiera,D,I,0,C,S,0
cuantas,cuanto,D,I,0,F,P,0
cuantos,cuanto,D,I,0,M,P,0
demasiada,demasiado,D,I,0,F,S,0
demasiadas,demasiado,D,I,0,F,P,0
demasiado,demasiado,D,I,0,M,S,0
demasiados,demasiado,D,I,0,M,P,0
demás,demás,D,I,0,C,P,0
diferentes,diferente,D,I,0,C,P,0
distintas,distinto,D,I,0,F,P,0
distintos,distinto,D,I,0,M,P,0
diversa,diverso,D,I,0,F,S,0
diversas,diverso,D,I,0,F,P,0
diverso,diverso,D,I,0,M,S,0
diversos,diverso,D,I,0,M,P,0
escasa,escaso,D,I,0,F,S,0
escasas,escaso,D,I,0,F,P,0
escaso,escaso,D,I,0,M,S,0
escasos,escaso,D,I,0,M,P,0
mucha,mucho,D,I,0,F,S,0
muchas,mucho,D,I,0,F,P,0
mucho,mucho,D,I,0,M,S,0
muchos,mucho,D,I,0,M,P,0
ninguna,ninguno,D,I,0,F,S,0
ningunas,ninguno,D,I,0,F,P,0
ninguno,ninguno,D,I,0,M,S,0
ningunos,ninguno,D,I,0,M,P,0
ningún,ninguno,D,I,0,M,S,0
otra,otro,D,I,0,F,S,0
otras,otro,D,I,0,F,P,0
otro,otro,D,I,0,M,S,0
otros,otro,D,I,0,M,P,0
poca,poco,D,I,0,F,S,0
pocas,poco,D,I,0,F,P,0
poco,poco,D,I,0,M,S,0
pocos,poco,D,I,0,M,P,0
sendas,sendos,D,I,0,F,P,0
sendos,sendos,D,I,0,M,P,0
suficiente,suficiente,D,I,0,C,S,0
suficientes,suficiente,D,I,0,C,P,0
tanta,tanto,D,I,0,F,S,0
tantas,tanto,D,I,0,F,P,0
tanto,tanto,D,I,0,M,S,0
tantos,tanto,D,I,0,M,P,0
toda,todo,D,I,0,F,S,0
todas,todo,D,I,0,F,P,0
todo,todo,D,I,0,M,S,0
todos,todo,D,I,0,M,P,0
un,uno,D,I,0,M,S,0
una,uno,D,I,0,F,S,0
unas,uno,D,I,0,F,P,0
unos,uno,D,I,0,M,P,0
varias,varios,D,I,0,F,P,0
varios,varios,D,I,0,M,P,0
mi,mi,D,P,1,C,S,S
mis,mi,D,P,1,C,P,S
nuestra,nuestro,D,P,1,F,S,P
nuestras,nuestro,D,P,1,F,P,P
nuestro,nuestro,D,P,1,M,S,P
nuestros,nuestro,D,P,1,M,P,P
su,su,D,P,3,C,S,N
sus,su,D,P,3,C,P,N
tu,tu,D,P,2,C,S,S
tus,tu,D,P,2,C,P,S
vuestra,vuestro,D,P,2,F,S,P
vuestras,vuestro,D,P,2,F,P,P
vuestro,vuestro,D,P,2,M,S,P
vuestros,vuestro,D,P,2,M,P,P
cuál,cuál,D,T,0,C,S,0
cuáles,cuál,D,T,0,C,P,0
cuánta,cuánto,D,T,0,F,S,0
cuántas,cuánto,D,T,0,F,P,0
cuánto,cuánto,D,T,0,M,S,0
cuántos,cuánto,D,T,0,M,P,0
qué,qué,D,T,0,C,N,0
